,Unnamed: 0,UID,GID,Area,JobName,Partition,ReqNodes,ReqCPUS,Timelimit,Submit,Start,Elapsed,Priority,State,ExitCode
33,33,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:41:48,03:55:43,1,COMPLETED,0:0
34,34,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:42:21,03:53:43,1,COMPLETED,0:0
35,35,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:42:54,03:59:01,1,COMPLETED,0:0
36,36,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:42:54,03:55:04,1,COMPLETED,0:0
37,37,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:43:27,03:58:08,1,COMPLETED,0:0
38,38,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:43:27,03:55:07,1,COMPLETED,0:0
39,39,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:43:54,03:56:44,1,COMPLETED,0:0
40,40,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:44:54,03:55:22,1,COMPLETED,0:0
41,41,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:45:42,04:05:52,1,COMPLETED,0:0
42,42,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:45:42,04:02:06,1,COMPLETED,0:0
43,43,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:46:15,04:07:06,1,COMPLETED,0:0
44,44,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:46:47,03:59:22,1,COMPLETED,0:0
45,45,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:46:54,04:00:14,1,COMPLETED,0:0
46,46,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:47:20,03:54:40,1,COMPLETED,0:0
47,47,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:47:20,04:00:00,1,COMPLETED,0:0
48,48,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:47:52,03:50:08,1,COMPLETED,0:0
49,49,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:47:52,03:58:52,1,COMPLETED,0:0
50,50,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:48:25,03:52:39,1,COMPLETED,0:0
51,51,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:49:54,03:53:19,1,COMPLETED,0:0
52,52,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:50:40,03:52:35,1,COMPLETED,0:0
53,53,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:51:13,03:56:35,1,COMPLETED,0:0
54,54,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:51:45,04:03:38,1,COMPLETED,0:0
55,55,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:51:45,03:55:44,1,COMPLETED,0:0
56,56,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:52:50,03:57:29,1,COMPLETED,0:0
57,57,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:52:50,04:04:22,1,COMPLETED,0:0
58,58,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:53:54,03:57:55,1,COMPLETED,0:0
59,59,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:53:54,03:59:36,1,COMPLETED,0:0
60,60,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:54:28,04:00:38,1,COMPLETED,0:0
61,61,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:54:28,04:03:15,1,COMPLETED,0:0
62,62,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:54:28,03:59:14,1,COMPLETED,0:0
63,63,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:54:54,03:56:24,1,COMPLETED,0:0
64,64,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:55:00,03:58:41,1,COMPLETED,0:0
65,65,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:56:41,03:57:15,1,COMPLETED,0:0
66,66,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:56:41,03:59:26,1,COMPLETED,0:0
67,67,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:56:54,03:58:24,1,COMPLETED,0:0
68,68,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:56:54,04:03:52,1,COMPLETED,0:0
69,69,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:56:54,03:59:05,1,COMPLETED,0:0
70,70,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:58:21,04:01:46,1,COMPLETED,0:0
71,71,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:58:21,03:59:43,1,COMPLETED,0:0
72,72,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:58:53,03:55:40,1,COMPLETED,0:0
73,73,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:58:53,04:24:21,1,COMPLETED,0:0
74,74,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:58:53,03:54:28,1,COMPLETED,0:0
75,75,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:58:53,04:00:09,1,COMPLETED,0:0
76,76,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:00:53,03:54:02,1,COMPLETED,0:0
77,77,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:00:53,04:08:35,1,COMPLETED,0:0
78,78,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:01:23,03:55:25,1,COMPLETED,0:0
79,79,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:01:53,03:58:40,1,COMPLETED,0:0
80,80,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:01:53,03:57:52,1,COMPLETED,0:0
81,81,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:02:23,04:16:43,1,COMPLETED,0:0
82,82,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:03:53,03:56:41,1,COMPLETED,0:0
83,83,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:04:53,03:58:12,1,COMPLETED,0:0
84,84,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:05:23,03:55:45,1,COMPLETED,0:0
85,85,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:07:53,03:54:33,1,COMPLETED,0:0
86,86,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:08:24,04:13:58,1,COMPLETED,0:0
87,87,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:09:50,03:50:31,1,COMPLETED,0:0
88,88,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:10:24,03:53:48,1,COMPLETED,0:0
89,89,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:10:24,03:58:51,1,COMPLETED,0:0
90,90,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:12:54,03:57:40,1,COMPLETED,0:0
91,91,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:21:54,03:54:01,1,COMPLETED,0:0
92,92,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:25:57,04:13:58,1,COMPLETED,0:0
93,93,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:26:25,03:51:56,1,COMPLETED,0:0
94,94,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:26:54,03:50:16,1,COMPLETED,0:0
95,95,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T21:27:54,03:58:01,1,COMPLETED,0:0
